age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
34,7,1,1,0,0,1,0,0,17,5,75,3,-1,0,3,0
39,9,1,1,0,214,1,0,2,27,8,386,11,-1,0,3,0
40,4,0,2,0,-319,1,0,2,23,8,59,3,-1,0,3,0
27,0,2,1,0,13,1,0,1,8,5,103,1,-1,0,3,0
26,9,2,1,0,1231,1,0,0,3,6,385,2,96,5,2,1
57,0,1,1,0,2518,1,0,0,11,5,82,2,-1,0,3,0
42,6,1,2,0,-1781,1,1,0,7,1,197,2,-1,0,3,0
35,4,2,3,0,2361,0,0,0,9,5,90,10,-1,0,3,0
30,6,2,2,0,253,1,0,0,28,5,283,4,-1,0,3,0
37,7,1,1,0,1543,1,0,0,12,8,451,4,85,2,2,0
49,1,1,0,0,902,0,0,2,9,6,210,2,-1,0,3,0
49,7,1,1,0,494,0,0,2,17,6,196,4,-1,0,3,0
49,2,1,0,0,6188,0,0,0,18,9,453,1,-1,0,3,1
58,9,0,1,0,906,1,1,2,16,8,155,3,-1,0,3,0
30,4,2,2,0,0,0,0,0,7,5,240,1,-1,0,3,0
23,10,2,0,0,1003,0,0,1,27,9,8,1,-1,0,3,1
41,10,0,2,0,-198,1,0,0,17,9,165,1,-1,0,3,0
52,7,1,1,0,-888,0,0,0,16,5,135,1,-1,0,3,0
55,0,1,1,0,994,0,0,2,11,6,490,2,-1,0,3,0
41,1,2,0,0,3237,0,0,0,14,8,240,3,363,4,1,0
53,2,1,2,0,0,0,0,0,20,9,520,2,-1,0,3,0
50,9,1,1,0,0,1,0,0,6,8,327,1,356,1,1,0
38,1,1,1,0,2836,0,0,2,6,6,116,3,-1,0,3,0
35,1,2,1,0,1253,0,0,2,29,8,2260,2,-1,0,3,0
60,1,1,1,0,40,0,0,2,5,6,126,2,-1,0,3,0
40,6,0,2,0,1077,0,0,0,19,9,309,1,-1,0,3,0
40,4,2,2,0,2258,1,0,0,14,8,115,3,287,2,0,0
40,9,1,1,0,1270,0,0,0,17,0,342,2,-1,0,3,0
31,0,1,1,0,3052,1,1,0,20,9,115,2,177,2,0,0
54,7,0,3,0,2177,0,0,2,20,8,134,5,-1,0,3,0
38,4,1,3,0,933,0,0,2,20,6,95,2,-1,0,3,0
51,4,2,2,1,-55,1,0,0,18,1,119,6,-1,0,3,0
53,9,1,3,0,9252,0,0,0,20,9,277,1,-1,0,3,0
31,4,2,2,0,2983,1,0,0,2,5,153,1,-1,0,3,0
29,4,2,2,0,307,1,0,0,2,6,690,1,-1,0,3,1
46,1,1,0,0,-287,1,0,2,30,8,113,3,-1,0,3,0
47,6,1,1,0,231,0,0,0,8,1,88,2,-1,0,3,0
59,1,1,0,0,259,1,1,2,14,8,267,2,-1,0,3,0
33,6,1,1,0,173,0,0,0,18,1,26,5,-1,0,3,0
44,4,1,0,0,5418,1,1,0,28,5,58,5,-1,0,3,0
35,9,0,1,0,82,0,0,0,19,1,152,3,-1,0,3,0
32,9,1,1,0,963,0,0,0,28,1,15,13,-1,0,3,0
43,4,1,2,0,2083,0,0,0,21,9,120,2,-1,0,3,0
47,9,1,1,0,3973,0,0,0,6,1,732,2,-1,0,3,0
30,0,2,1,0,19,0,0,0,29,4,372,1,-1,0,3,0
43,0,0,1,0,146,1,0,0,7,8,274,3,358,2,0,0
27,7,2,1,0,230,0,0,2,27,5,5,1,-1,0,3,0
45,7,1,1,0,24,1,0,0,15,5,192,3,-1,0,3,0
77,5,1,1,0,638,0,0,0,7,1,453,1,-1,0,3,1
31,3,1,2,0,0,0,0,2,28,1,12,15,-1,0,3,0
37,1,0,1,0,625,1,0,0,15,8,68,4,359,2,0,0
51,9,1,3,0,-174,1,1,0,17,9,348,1,-1,0,3,0
24,1,2,3,0,76,1,0,2,19,8,345,1,-1,0,3,0
44,3,1,1,0,281,1,0,2,8,8,604,1,-1,0,3,0
48,4,2,2,0,830,0,0,0,25,1,961,4,-1,0,3,1
25,7,2,1,0,505,0,0,0,15,6,284,1,-1,0,3,1
51,3,0,2,0,370,1,0,0,19,1,109,3,-1,0,3,0
36,8,2,3,0,449,0,0,0,4,3,166,2,-1,0,3,0
26,4,2,2,0,9447,0,0,0,4,11,113,1,100,2,1,0
40,4,2,2,0,1509,0,0,0,12,8,333,1,58,3,0,0
34,3,1,2,0,1265,1,0,2,6,6,397,3,-1,0,3,0
72,1,1,0,0,4415,0,0,1,13,10,120,1,-1,0,3,0
63,2,1,0,0,2287,0,0,1,1,11,490,1,-1,0,3,0
29,4,2,2,0,308,0,0,0,4,1,313,1,-1,0,3,0
37,1,1,1,0,693,0,0,0,20,9,59,2,-1,0,3,0
28,1,2,0,0,553,1,0,0,7,8,225,3,321,3,0,0
31,4,1,2,0,4015,1,0,0,2,3,95,2,241,3,1,0
48,9,1,1,0,3069,0,0,0,4,1,597,2,-1,0,3,0
41,0,1,1,0,1245,0,0,2,18,6,140,3,-1,0,3,0
37,1,2,1,0,3344,1,0,2,26,8,85,5,-1,0,3,0
81,5,0,0,0,519,0,0,1,9,11,488,1,-1,0,3,0
43,1,2,1,0,1306,1,0,0,16,0,243,1,336,1,0,0
38,4,2,2,0,4841,0,0,0,22,8,580,3,-1,0,3,0
26,1,2,1,0,24,1,0,2,7,8,180,1,-1,0,3,0
29,0,1,1,0,-150,1,0,2,6,8,328,1,-1,0,3,0
61,5,1,0,0,1720,0,0,0,12,9,150,1,463,5,0,0
59,0,0,1,0,1525,0,0,1,29,5,90,2,-1,0,3,0
57,7,1,1,0,197,0,0,2,16,6,116,1,-1,0,3,0
37,1,1,3,0,0,1,0,0,9,5,90,1,-1,0,3,0
34,9,2,2,0,9851,1,0,0,20,9,128,5,-1,0,3,0
33,4,1,1,1,879,1,0,2,8,8,245,1,-1,0,3,0
32,1,1,0,0,0,1,1,0,8,8,82,2,361,4,0,0
46,2,1,2,0,1082,1,1,0,18,9,288,1,-1,0,3,0
50,4,0,2,0,100,1,1,0,13,8,157,1,299,3,0,0
24,8,2,1,0,1809,0,0,0,11,10,165,1,95,2,2,1
48,4,2,2,0,399,0,1,0,7,1,126,1,-1,0,3,0
35,1,1,1,0,731,1,0,0,20,0,179,2,-1,0,3,0
53,6,0,2,1,10,0,0,0,20,9,75,3,-1,0,3,0
27,6,2,2,0,270,1,0,2,27,8,470,2,-1,0,3,0
48,5,1,2,0,4,0,1,0,23,5,70,5,-1,0,3,0
42,4,2,2,1,130,1,1,0,18,9,112,1,-1,0,3,0
34,3,1,2,0,4958,1,0,0,20,0,11,5,152,2,0,0
50,1,1,0,0,231,1,0,2,16,8,171,4,-1,0,3,0
33,7,1,1,0,5034,1,0,2,8,8,207,3,-1,0,3,0
42,1,1,0,0,560,1,1,0,18,9,139,2,-1,0,3,0
49,4,1,1,0,362,1,0,2,4,6,84,2,-1,0,3,0
30,4,1,2,0,604,0,0,0,25,1,132,2,-1,0,3,0
55,1,1,0,0,2102,1,0,0,12,8,64,4,371,1,0,0
40,4,1,2,0,2471,1,1,0,23,5,206,1,-1,0,3,0
23,9,2,1,0,28,1,0,0,17,0,183,3,325,2,0,0
50,3,1,1,0,34,1,0,2,5,6,163,1,-1,0,3,0
26,3,2,1,0,229,1,0,2,30,8,60,16,-1,0,3,0
39,0,2,1,0,782,1,0,0,20,9,162,3,-1,0,3,0
34,0,2,1,0,296,0,0,0,20,9,68,1,136,4,0,0
40,4,1,2,0,4381,0,0,1,29,5,126,2,-1,0,3,0
26,9,2,2,0,4130,0,0,0,28,4,104,2,-1,0,3,0
55,4,1,3,0,0,0,0,2,5,6,353,2,-1,0,3,0
