LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default_payment_next_month
500000,2,2,1,36,-2,-2,-2,-2,-2,-2,-1,229,504,24125,19611,3100,230,625,24246,19709,3117,62754,0
260000,1,1,2,34,-1,-1,-1,-1,-1,-1,6776,3198,2123,11774,6166,3583,3222,2125,11892,6192,3601,3403,0
20000,2,2,1,43,1,2,3,2,2,2,11501,12998,13492,12978,13962,13595,2000,1000,0,1200,0,3000,1
270000,1,1,2,33,-1,-1,-1,-1,-1,-1,9711,9363,13951,8938,15280,18002,9391,13999,8964,15325,18028,211,0
360000,1,1,2,29,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
170000,2,2,2,33,-1,-1,-2,-2,-2,-2,1547,0,0,0,0,0,0,0,0,0,0,0,0
50000,2,2,1,26,0,0,0,0,0,0,50604,50913,43348,10122,9626,9828,1924,1461,1155,400,351,500,1
50000,2,3,1,47,0,0,0,0,2,0,29336,30502,31161,25294,24843,19576,1641,1300,1629,0,1000,1007,0
180000,2,2,2,36,-1,-1,-1,-2,-2,-1,802,2240,0,0,0,7322,2240,0,0,0,7322,2208,0
390000,1,1,1,35,0,0,0,0,0,0,28804,43996,47532,49414,51380,50661,20000,5006,5006,5008,3004,3006,0
150000,2,2,1,40,-1,-1,-1,-1,-1,-1,16019,0,7937,3307,2894,0,0,7937,3307,2894,0,0,0
60000,2,2,1,42,-1,-1,-1,-1,-1,-1,631,2790,1758,416,416,3640,2790,1758,416,416,3640,730,0
180000,2,2,1,31,1,-1,2,-1,0,0,0,200,100,300,200,499,200,0,300,0,399,100,0
180000,1,1,2,28,-1,-1,-1,-1,-1,-1,666,662,-4,55566,1056,390,662,0,61411,1056,0,1998,0
50000,1,5,2,33,0,0,0,0,0,-2,45226,46080,32218,20650,0,0,1618,1647,1050,0,0,0,0
