age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
40,1,1,1,0,1145,1,0,0,15,8,175,4,-1,0,3,0
45,4,1,2,0,1186,0,0,0,29,1,25,7,-1,0,3,0
31,7,1,1,0,28,1,0,2,8,8,101,1,-1,0,3,0
36,6,2,2,0,0,1,0,0,30,0,204,1,-1,0,3,0
36,0,0,1,0,1224,1,0,0,12,9,482,1,374,1,2,1
27,0,2,2,0,43,0,0,0,2,3,95,3,-1,0,3,0
36,7,2,1,0,365,0,0,0,4,8,643,1,-1,0,3,1
61,5,1,1,0,1058,0,0,0,27,10,277,1,92,5,2,0
60,3,1,3,0,2769,0,0,0,13,1,96,2,-1,0,3,0
32,7,2,1,0,80,1,0,1,19,9,475,2,-1,0,3,0
22,1,2,1,0,3992,1,1,2,19,8,194,2,-1,0,3,0
36,1,1,1,0,-557,1,1,0,29,4,484,1,253,1,0,0
48,4,0,2,0,0,0,0,0,15,10,126,2,-1,0,3,0
27,4,1,2,0,4909,0,1,0,17,5,159,3,-1,0,3,0
57,9,1,1,0,29,0,0,0,6,1,122,2,-1,0,3,0
37,7,1,1,0,-21,1,1,2,23,8,61,2,-1,0,3,0
47,9,1,1,0,2149,1,0,0,15,10,241,1,183,2,2,0
46,0,1,1,0,-358,1,0,2,5,8,358,2,-1,0,3,0
43,3,2,0,0,24,0,0,0,31,5,35,2,-1,0,3,0
39,4,1,2,0,2226,1,0,0,18,1,103,8,-1,0,3,0
36,1,1,1,0,561,1,0,2,9,6,198,2,-1,0,3,0
54,4,0,2,0,787,0,0,0,6,1,90,2,-1,0,3,0
33,1,0,1,0,-238,1,0,2,13,8,73,2,-1,0,3,0
58,7,0,1,0,0,0,0,0,28,4,250,2,-1,0,3,0
41,9,1,1,0,4004,0,0,0,17,0,314,2,-1,0,3,1
36,7,1,1,0,-260,1,0,2,30,8,91,2,-1,0,3,0
28,9,2,2,0,1080,1,0,0,18,8,192,1,-1,0,3,0
44,9,1,2,0,184,1,1,0,5,3,653,3,8,2,1,0
69,5,0,1,0,4572,0,0,1,27,10,146,2,56,1,1,1
32,0,1,1,0,159,0,1,2,26,6,177,1,-1,0,3,0
32,7,0,1,0,1156,1,0,0,19,9,81,1,182,1,0,0
45,0,1,3,0,1557,0,0,2,20,6,158,5,-1,0,3,0
38,6,1,2,0,3139,1,0,0,18,9,177,2,-1,0,3,0
33,9,0,1,0,0,0,0,0,21,1,224,8,-1,0,3,0
47,9,1,1,0,644,0,0,1,28,4,54,3,160,13,0,0
57,1,1,1,0,1859,1,0,0,27,1,72,5,-1,0,3,0
39,1,0,0,0,815,1,0,0,18,8,22,3,-1,0,3,0
38,4,2,2,0,427,1,0,0,18,9,253,1,182,1,0,0
28,1,1,1,0,1843,1,0,0,20,0,415,2,-1,0,3,0
58,9,0,1,0,469,0,0,2,6,8,196,1,-1,0,3,0
33,1,1,1,0,625,1,0,2,28,8,410,1,-1,0,3,0
56,3,1,0,0,82,0,0,2,16,8,215,1,-1,0,3,0
37,2,1,2,0,555,0,0,0,7,5,104,2,-1,0,3,0
25,0,1,1,0,242,1,0,0,30,5,62,12,-1,0,3,0
30,9,1,1,0,9,0,0,0,21,1,129,2,-1,0,3,0
39,9,1,1,0,116,0,0,0,24,1,79,2,94,2,2,0
30,1,1,0,0,-430,1,0,2,30,8,648,5,-1,0,3,0
37,9,1,2,0,7,1,1,0,31,5,18,10,-1,0,3,0
47,0,0,1,0,555,1,1,1,17,10,478,1,-1,0,3,1
